228036,4106408,3878372
682907,4151923,3469016
215114,4134460,3919346
620463,213790,-406673
455569,3947730,3492161
598959,4085987,3487028
228839,4105761,3876922
228815,227582,-1233
227847,4098794,3870947
228782,4115976,3887194
189785,225879,36094
227760,4109697,3881937
228259,4120842,3892583
637412,4125789,3488377
228428,4088620,3860192
228241,4132829,3904588
226479,4095246,3868767
655395,4143612,3488217
226341,227676,1335
226499,4127488,3900989
653683,4120167,3466484
226549,4111932,3885383
620967,4085482,3464515
227977,227645,-332
228728,4145033,3916305
227789,4129222,3901433
227861,4134451,3906590
190941,4070013,3879072
228753,4102140,3873387
228436,4147528,3919092
614136,4105726,3491590
228126,227467,-659
657883,4103487,3445604
228289,4104871,3876582
177370,4167271,3989901
616962,4101379,3484417
656705,225946,-430759
634969,4119600,3484631
615305,4109699,3494394
177544,4091179,3913635
228778,227469,-1309
227936,4150561,3922625
617966,4101432,3483466
227980,4142914,3914934
192534,4063289,3870755
228094,4097012,3868918
228178,4151690,3923512
227930,4097968,3870038
228976,4111212,3882236
630701,4072036,3441335
620326,4108866,3488540
652549,4144271,3491722
613567,4099347,3485780
226437,4133054,3906617
654101,227576,-426525
228422,4114128,3885706
226365,227426,1061
227881,4108171,3880290
230998,4123141,3892143
226682,4128175,3901493
228149,4105323,3877174
193235,4078921,3885686
624111,227865,-396246
656189,4157336,3501147
226643,225854,-789
228171,4102395,3874224
193908,4086070,3892162
228029,4111122,3883093
228210,4144330,3916120
617038,4102192,3485154
228264,4123940,3895676
618111,4104489,3486378
228251,4105460,3877209
227769,227410,-359
228177,3979494,3751317
714330,225841,-488489
228814,4130431,3901617
228373,4153143,3924770
175085,4088689,3913604
226483,4090840,3864357
226469,4138244,3911775
228345,225761,-2584
654287,225977,-428310
599181,4078527,3479346
228503,4106455,3877952
655654,225849,-429805
615339,4092889,3477550
227787,4140575,3912788
56774,92189,35415
520296,3907466,3387170
56665,3824965,3768300
111151,3958244,3847093
547521,3963810,3416289
165189,182764,17575
200986,4044306,3843320
642881,4125451,3482570
229425,4106136,3876711
228426,227662,-764
616886,4081094,3464208
614321,4091468,3477147
228793,4146431,3917638
226454,4081485,3855031
228605,4110460,3881855
188873,4105994,3917121
228286,4111018,3882732
649992,4137802,3487810
228432,227603,-829
651763,4136590,3484827
617535,4081796,3464261
615183,4087735,3472552
228238,4149994,3921756
609287,4074582,3465295
228454,4104115,3875661
170448,4044785,3874337
612783,4089260,3476477
228998,225953,-3045
616725,4102960,3486235
611089,4093155,3482066
228917,190875,-38042
227863,4102310,3874447
228409,4099117,3870708
228409,4094633,3866224
229154,4151461,3922307
227921,4174548,3946627
620549,4106850,3486301
661380,4157774,3496394
228950,4123991,3895041
657509,4151681,3494172
614068,4111897,3497829
198245,4112243,3913998
228527,4105762,3877235
622085,4116096,3494011
228673,177799,-50874
617368,4110236,3492868
228230,4125023,3896793
227683,4109775,3882092
226400,4103940,3877540
228375,4150241,3921866
227953,227605,-348
228528,4150954,3922426
228078,4097857,3869779
228540,4113183,3884643
227986,4129231,3901245
615601,4114472,3498871
159853,4045539,3885686
228057,225799,-2258
226236,4145610,3919374
627041,226086,-400955
226226,4154585,3928359
227957,4111063,3883106
655355,4136427,3481072
219075,4139368,3920293
647344,4120535,3473191
219829,4074474,3854645
209213,4170152,3960939
217268,4165683,3948415
642425,4118015,3475590
228047,226057,-1990
228077,4088321,3860244
643506,4098936,3455430
219392,4094919,3875527
218857,4125276,3906419
217227,4058220,3840993
217392,4116227,3898835
219698,4129285,3909587
56270,3820805,3764535
517167,3903018,3385851
145632,3988062,3842430
165306,4008243,3842937
475976,3829434,3353458
560233,128577,-431656
146714,3994132,3847418
164687,4084241,3919554
476994,3826743,3349749
521824,128209,-393615
147225,163387,16162
588774,4032053,3443279
56787,3853666,3796879
111036,3926995,3815959
147264,4061657,3914393
165154,4029519,3864365
597657,218773,-378884
644669,227577,-417092
228986,4115469,3886483
228127,4150184,3922057
228253,4105688,3877435
228587,4113146,3884559
624751,4111379,3486628
629755,4117922,3488167
228304,4151062,3922758
228781,4115061,3886280
655275,4141995,3486720
228750,227534,-1216
228418,4085960,3857542
228620,4126589,3897969
618807,227765,-391042
625356,4116106,3490750
228330,4120518,3892188
228315,4149671,3921356
227928,4107608,3879680
228735,4183520,3954785
228383,4152198,3923815
56552,3824917,3768365
516779,3902070,3385291
146917,3996493,3849576
165097,4004309,3839212
201278,4046990,3845712
648709,4093675,3444966
228256,4103468,3875212
228419,228203,-216
228364,227717,-647
648884,4106437,3457553
228106,4105644,3877538
229078,4111351,3882273
616536,4040967,3424431
223449,4107453,3884004
222648,4212085,3989437
223693,4102930,3879237
224579,4201941,3977362
625693,4108186,3482493
224068,223262,-806
224045,221567,-2478
611976,221448,-390528
196045,4083247,3887202
224044,4096861,3872817
650647,223181,-427466
221885,4072615,3850730
223589,4101473,3877884
611483,4095416,3483933
223318,221329,-1989
221433,4124918,3903485
229033,4120340,3891307
228009,4145021,3917012
228770,225674,-3096
226439,4095180,3868741
200787,4067821,3867034
228598,4198411,3969813
655274,4146977,3491703
226472,4092427,3865955
226298,4138101,3911803
228178,4122972,3894794
651027,4134496,3483469
173967,220013,46046
228910,226120,-2790
226461,4139963,3913502
228905,4110292,3881387
226535,4136573,3910038
193445,4084872,3891427
615261,227310,-387951
653621,4123582,3469961
228244,4125559,3897315
228722,4149405,3920683
226313,4087802,3861489
617568,227646,-389922
227895,226317,-1578
617203,4102278,3485075
652128,4147405,3495277
228269,4150051,3921782
228586,4108199,3879613
616837,4104115,3487278
227851,4110104,3882253
227779,4150654,3922875
226455,4083311,3856856
615383,4102914,3487531
57139,3852662,3795523
111568,3931925,3820357
56629,3828760,3772131
110725,3930358,3819633
550730,3974656,3423926
163492,182661,19169
596184,190903,-405281
219052,4148524,3929472
630555,4117118,3486563
215458,4139083,3923625
227955,200821,-27134
228306,4123308,3895002
650942,4149640,3498698
228480,4111979,3883499
647492,4138941,3491449
630194,227713,-402481
228217,227342,-875
167324,227708,60384
228155,4099828,3871673
227841,4149952,3922111
228015,227613,-402
228497,227529,-968
619095,4078202,3459107
228534,4122894,3894360
226455,4146245,3919790
228027,4097915,3869888
228132,226170,-1962
228925,4096930,3868005
228212,227590,-622
228197,4135548,3907351
229016,4129610,3900594
228799,4145820,3917021
228577,4146589,3918012
227400,4101597,3874197
226376,4145992,3919616
228522,4113141,3884619
57159,3835305,3778146
110746,3907884,3797138
572729,3999901,3427172
163557,4032136,3868579
591464,195519,-395945
219474,4100946,3881472
615107,227538,-387569
661014,4130032,3469018
228283,4105779,3877496
229059,4149274,3920215
228492,4104027,3875535
56801,3831467,3774666
518521,3901298,3382777
56740,3842912,3786172
107503,127436,19933
145586,3962919,3817333
164641,4007763,3843122
198142,4073557,3875415
609099,228222,-380877
656077,4147668,3491591
611124,227727,-383397
228596,4113932,3885336
641022,227688,-413334
193537,4073359,3879822
56873,92058,35185
104023,128695,24672
146980,3968667,3821687
163768,3999790,3836022
623874,4075531,3451657
219669,4104778,3885109
227810,4148414,3920604
615212,4107856,3492644
227714,4108677,3880963
630643,4097871,3467228
614132,4093993,3479861
187333,4110792,3923459
228254,4105062,3876808
654743,4146037,3491294
231126,4149758,3918632
228245,227565,-680
227643,4101732,3874089
228044,4103510,3875466
655262,4137768,3482506
454325,92445,-361880
111046,3931939,3820893
515104,92730,-422374
518070,3892179,3374109
147444,3975267,3827823
163541,4002453,3838912
56763,3836941,3780178
111027,3898799,3787772
147593,3993917,3846324
164609,4056321,3891712
56862,91560,34698
111200,3911469,3800269
147456,3995247,3847791
163613,4021642,3858029
594214,4031919,3437705
218928,4191956,3973028
229254,227971,-1283
659159,227546,-431613
227690,4098961,3871271
228210,4105007,3876797
228462,4149865,3921403
610229,227429,-382800
176160,226263,50103
228032,4094042,3866010
227946,4150815,3922869
610701,4077301,3466600
632782,4121506,3488724
228843,4154239,3925396
228474,4106696,3878222
653641,4137037,3483396
226384,4104961,3878577
228787,4141638,3912851
228629,4107065,3878436
226371,4099132,3872761
190998,4088467,3897469
227930,4097310,3869380
223502,4135880,3912378
609849,4088746,3478897
224324,4137288,3912964
649000,222676,-426324
223670,4097454,3873784
194307,4107419,3913112
223425,4093677,3870252
224547,4139469,3914922
223498,4093723,3870225
221864,4084057,3862193
224609,4135415,3910806
223387,4095408,3872021
223590,4126322,3902732
223302,4084232,3860930
56948,3830055,3773107
109842,3900620,3790778
56707,3837302,3780595
107755,128592,20837
145560,3963118,3817558
563751,182386,-381365
198278,192584,-5694
608396,227457,-380939
228116,4144179,3916063
227787,4098192,3870405
226239,4075668,3849429
643070,4124679,3481609
618626,4104640,3486014
56744,3841985,3785241
90732,3887484,3796752
56407,3818943,3762536
539302,3913696,3374394
547483,3963350,3415867
165201,4008649,3843448
202121,4062942,3860821
217439,4163043,3945604
674052,4173432,3499380
228869,4153807,3924938
228826,4161050,3932224
628511,4137471,3508960
658394,4150805,3492411
626170,4116847,3490677
623477,4117657,3494180
226489,4104132,3877643
228505,4112071,3883566
185722,4056625,3870903
620627,226242,-394385
228226,4150567,3922341
230930,4150086,3919156
614245,4092176,3477931
165383,4078963,3913580
228669,4117714,3889045
228064,4157070,3929006
228487,4106436,3877949
227958,4143826,3915868
654933,178906,-476027
228232,4119646,3891414
226146,4142222,3916076
627957,4087879,3459922
228052,4145012,3916960
226389,4112071,3885682
613546,4092673,3479127
211308,4125018,3913710
616116,227577,-388539
228081,4144420,3916339
228944,4087181,3858237
655510,225830,-429680
603115,4094346,3491231
613654,4101752,3488098
655448,4146657,3491209
618464,225992,-392472
228040,4124993,3896953
488637,3842429,3353792
514042,128453,-385589
145883,4054874,3908991
222109,4133073,3910964
218815,4119981,3901166
220149,4137568,3917419
219130,4104693,3885563
637936,4118841,3480905
217614,4192337,3974723
667856,4152241,3484385
217400,4166704,3949304
691224,4185707,3494483
223689,4115140,3891451
165199,4009897,3844698
667234,4156417,3489183
224242,4136634,3912392
631513,4114157,3482644
223420,4098099,3874679
223677,4092048,3868371
223519,4102282,3878763
641628,4118728,3477100
218919,4091626,3872707
219153,4126211,3907058
473916,3823342,3349426
111002,3903183,3792181
56943,89941,32998
521919,3911343,3389424
145522,3981713,3836191
590047,4012751,3422704
199403,4031295,3831892
217584,4153126,3935542
602807,4069866,3467059
668424,4177354,3508930
228112,4102393,3874281
621008,4044191,3423183
609677,4093670,3483993
657463,4143000,3485537
227949,4091639,3863690
623079,4115764,3492685
653661,4084171,3430510
222232,4154996,3932764
227851,226127,-1724
227953,4101822,3873869
626237,4115487,3489250
227856,4101868,3874012
226559,4095307,3868748
656040,4102195,3446155
623593,4105217,3481624
226322,226069,-253
619739,4113918,3494179
56947,3825967,3769020
110244,3918096,3807852
145758,3980530,3834772
165200,4042073,3876873
588764,4040129,3451365
218899,4162186,3943287
617029,4102059,3485030
226773,4123852,3897079
228445,4105715,3877270
182823,4111566,3928743
227984,4102605,3874621
228661,227806,-855
228828,4102560,3873732
228291,4112354,3884063
192603,227402,34799
623504,4138523,3515019
228237,4147381,3919144
616047,4078368,3462321
649338,225922,-423416
482365,91514,-390851
110570,3906290,3795720
57052,91642,34590
110816,3929232,3818416
147324,3978224,3830900
565734,4002156,3436422
199449,4027524,3828075
219426,4119564,3900138
229106,227568,-1538
630756,4112077,3481321
228591,4100663,3872072
611888,4083742,3471854
227976,4158609,3930633
226530,227807,1277
688131,4189468,3501337
228033,4092842,3864809
228042,4133795,3905753
151689,3994425,3842736
620047,4101252,3481205
228371,227753,-618
624305,4103277,3478972
226791,226188,-603
227825,4086500,3858675
228026,4114513,3886487
696995,4199208,3502213
223564,4088700,3865136
651097,4134811,3483714
609500,4071564,3462064
619598,4110764,3491166
223938,4210937,3986999
223360,4093430,3870070
185367,4113398,3928031
163508,223287,59779
693141,4196938,3503797
223599,4156833,3933234
222133,4175996,3953863
624283,4110362,3486079
222232,221419,-813
687739,4191782,3504043
223913,4099689,3875776
488498,3848313,3359815
104433,3902737,3798304
147432,4043437,3896005
164821,4000595,3835774
57335,92884,35549
517453,3913049,3395596
145631,3966066,3820435
164839,183602,18763
487958,3845807,3357849
108564,3984578,3876014
146044,3962734,3816690
562394,4002433,3440039
56241,92353,36112
108145,3912428,3804283
146770,163031,16261
165521,4014910,3849389
56299,3835421,3779122
111146,3918781,3807635
474634,3825689,3351055
110905,3926804,3815899
546861,3959549,3412688
163352,3993713,3830361
201751,191062,-10689
217532,4114813,3897281
621415,4108224,3486809
611415,4081885,3470470
223236,223000,-236
224232,4103431,3879199
224424,4142915,3918491
612263,4077005,3464742
223069,4129834,3906765
610335,4087604,3477269
221623,4085786,3864163
651047,4129860,3478813
222319,4084079,3861760
639453,4120839,3481386
612584,4099737,3487153
221813,4125853,3904040
228309,4119917,3891608
612808,4077722,3464914
656192,4148506,3492314
227835,4058646,3830811
650593,227462,-423131
623942,4104129,3480187
626948,4093105,3466157
654151,188021,-466130
617247,4104840,3487593
227690,4142269,3914579
228100,4107991,3879891
612294,226071,-386223
645849,4114330,3468481
56615,3824484,3767869
112238,3935265,3823027
545390,3965305,3419915
562919,3990202,3427283
200847,4047438,3846591
213890,4066943,3853053
228277,4099344,3871067
228854,4209076,3980222
616070,4087325,3471255
228191,4148443,3920252
228026,4129909,3901883
228403,4144237,3915834
609610,184717,-424893
616831,225917,-390914
200200,4117766,3917566
629802,225850,-403952
228955,4105929,3876974
657920,177040,-480880
617074,4104131,3487057
228864,4146576,3917712
612458,225853,-386605
228126,4105421,3877295
228935,4144820,3915885
226707,4101768,3875061
655256,4142308,3487052
228158,4106634,3878476
475064,3821512,3346448
519899,3910648,3390749
146503,3986289,3839786
164787,4032169,3867382
594394,191665,-402729
217485,4086639,3869154
228041,226047,-1994
228844,227759,-1085
611640,225764,-385876
206025,4121626,3915601
226512,4081929,3855417
228966,4155024,3926058
226284,4072656,3846372
226613,4092459,3865846
192493,4100701,3908208
227905,4103308,3875403
653285,4144341,3491056
613878,4098720,3484842
621152,4113311,3492159
56977,3837020,3780043
515303,3894843,3379540
147074,164248,17174
167099,182363,15264
200874,4063658,3862784
605636,4079322,3473686
228242,4144644,3916402
228819,227567,-1252
653183,4143905,3490722
227769,4111791,3884022
228376,4110218,3881842
226611,4136072,3909461
617483,4109581,3492098
652865,4145831,3492966
228706,226080,-2626
648763,4135438,3486675
228483,227446,-1037
228314,4103922,3875608
229090,4148246,3919156
227875,4093578,3865703
653698,4144291,3490593
651886,4141623,3489737
226429,4093357,3866928
626785,4113435,3486650
615419,4076563,3461144
228101,4149380,3921279
618861,4084995,3466134
228610,4108358,3879748
191459,4082385,3890926
226422,4089793,3863371
228725,4150502,3921777
228676,4095005,3866329
228587,4144153,3915566
188447,192287,3840
615949,4092454,3476505
226308,4137201,3910893
227898,4106461,3878563
652900,4125507,3472607
174170,4055635,3881465
227934,4097097,3869163
226400,225481,-919
617404,225958,-391446
227952,4146363,3918411
56324,3837497,3781173
92243,3888218,3795975
56805,3825158,3768353
111058,4077618,3966560
226296,4082943,3856647
227984,4111594,3883610
654592,227333,-427259
620254,4101573,3481319
184106,4100298,3916192
228905,227552,-1353
228635,4142209,3913574
609388,4072184,3462796
614634,4103289,3488655
489285,3849533,3360248
100213,3896435,3796222
147096,4010606,3863510
165228,4023273,3858045
199625,4091303,3891678
218926,4092514,3873588
228229,4149726,3921497
228120,226158,-1962
227815,4141384,3913569
620061,4103612,3483551
226398,4083258,3856860
57006,3846952,3789946
106602,3901770,3795168
128970,3925019,3796049
147289,3979931,3832642
583788,4044821,3461033
200833,4088528,3887695
611227,4094365,3483138
698205,227679,-470526
476995,3824415,3347420
110819,3930842,3820023
147306,3980338,3833032
564600,3996374,3431774
596897,4050863,3453966
644344,4131269,3486925
228142,4126017,3897875
617512,4106189,3488677
177223,4100261,3923038
227975,4100029,3872054
228940,4135586,3906646
621053,4116901,3495848
228197,4147427,3919230
653321,4116033,3462712
226590,226399,-191
228314,227332,-982
625234,4111280,3486046
228269,4139017,3910748
630021,4125751,3495730
226436,4101086,3874650
657669,4137667,3479998
644440,4129030,3484590
652680,4142568,3489888
228710,4114864,3886154
228074,225745,-2329
645013,197293,-447720
226393,4123676,3897283
228048,4119563,3891515
657671,4147584,3489913
163651,4033824,3870173
217593,218282,689
643245,217451,-425794
590792,4088977,3498185
219029,4199154,3980125
633496,4063417,3429921
226262,4174582,3948320
226787,4080342,3853555
488979,3847821,3358842
110930,3902841,3791911
145746,3976584,3830838
588448,181103,-407345
595321,4052102,3456781
604131,4061455,3457324
